DatasetIdentifier,GroupId,FileDeliveryEnabled,Description
FX_SPOT_FWRD_OA,FXSPOTFWRDOA,Yes,"FX Spot  Forward Rates provides spot and forward currency rates for various countries in Americas. The menu is constructed of 2 dimensions Currency e.g. Argentinian Peso, Brazilian Real, Canadian ..., Forward Life e.g. Spot, 1 Month, 3 Months.... This dataset is produced by JP Morgan FX Research Team. DataQuery API group-id  FXSPOTFWRDOA"
FX_SW_IMM_FWD,FXSWIMMFWD,Yes,"The FX Swaps  Rolling Forwards dataset provides insights into FX swap midrates and forward points data on a range of forward start and term tenors, with global currency pair coverage. Mid Rate and Forward Point models are built on 3 dimensions Currency Pair, Forward Start, and Swap Term. This dataset is produced by JP Morgan in-house FX Markets tools group-id  FXSWIMMFWD"
FX_SW_ROLLING_FWD,FXSWROLLINGFWD,Yes,"The FX Swaps  Rolling Forwards dataset provides insights into FX swap midrates and forward points data on a range of forward start and term tenors, with global currency pair coverage. Mid Rate and Forward Point models are built on 3 dimensions Currency Pair, Forward Start, and Swap Term. This dataset is produced by JP Morgan in-house FX Markets tools group-id  FXSWROLLINGFWD"
GENERALIST_SALES,GENERALISTSALES,Yes,J.P. Morgan provides generalist sales and trading content with intraday updates and full historical coverage. DataQuery API group-id  GENERALISTSALES
GFI_OPT_MID_CURVE_EUR_GBP,GFIOPTMIDCURVEEURGBP,Yes,"The Swaption Mid Curve Euro Area dataset provides mid curve options across various rates and expiries with broad availability of strike rates for EUR and GBP currencies, utilizing risk-free rates RFR as a foundational benchmark. The menu is constructed of 3 dimensions Currency e.g. GBP Libor, GBP SONIA, EUR Euribor..., Rate e.g. 3m x 4y9m, 3m x 9y9m, 6m x 4y6m..., Expiry e.g. 1 Month, 3 Months, 6 Months.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  GFIOPTMIDCURVEEURGBP"
GFI_OPT_YLD_CRV_SPRD,GFIOPTYLDCRVSPRD,Yes,"The Swaption Yield Curve Spread Global dataset offers data on rates, volatility, and Greeks for yield curve spread options across different rates and expiries, with strike rates available for EUR, GBP, and JPY currencies, utilizing risk-free rates RFR as a foundational benchmark. The menu is constructed of 3 dimensions Currency e.g. JPY, EUR, GBP..., Rate e.g. 2yr x 10yr, 2yr x 20yr, 5yr x 10yr..., Expiry e.g. 3 Months, 6 Months, 9 Months.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  GFIOPTYLDCRVSPRD"
GFI_OP_CF,GFIOPCF,Yes,"The Swaption Caps  Floors Euro Area dataset offers detailed insights into volatility and other analytics involved in options trading for EUR and GBP currencies, utilizing risk-free rates RFR as a foundational benchmark. The menu is constructed of 3 dimensions Side e.g. Cap, Floor, Start e.g. 3 Month, 6 Month, 1 Year..., Index e.g. GBP Sonia, GBP Libor, EUR Libor 3m.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  GFIOPCF"
GFI_SWAPS_GLOBAL_CLOSES,GFISWAPSGLOBALCLOSES,Yes,"The Swaps Regional Close data is based on JPM Research analytics using front office market data, utilizing risk-free rates RFR as a foundational benchmark. It offers access to global swap closes across major trading regions. Swap curves are available for RFRs SOFR, TONAR, SONIA, and EURIBOR for USD, JPY, GBP, and EUR currencies, respectively. LIBOR-based swap curve data is available historically for USD, JPY, and GBP. The dataset includes three dimensions Currency USD, EUR, GBP, JPY, Forward Life e.g., 1 Month, 1 Year, 10 Years,  more, and Term e.g., 1 Day, 1 Month, 1 Week,  more., providing swap midrates and Modified Duration. The menu is constructed of 3 dimensions Forward Life e.g. Spot, 1 Month, 3 Months..., Market Close e.g. Tokyo, London, New York..., Currency e.g. Euro 3M Euribor, Euro 6M Euribor, Euro ESTR.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  GFISWAPSGLOBALCLOSES"
JPMAQS,,Yes,J.P.Morgan partners with Macro synergy to provide weekly evolving data called J.P.Morgan QS Quantamental indicators that are a broad set of measures of corporate bond market conditions. It is an application of index methods to create a comprehensive measures of market functioning.
RESEARCH_MEDIA_TRANSCRIPTS,RESEARCHMEDIATRANSCRIPTS,Yes,"Transcript content from J.P. Morgan Research media publications  including podcasts, video interviews, and webcast recordings  by research analysts globally, providing research insights in text format. DataQuery API group-id  RESEARCHMEDIATRANSCRIPTS"
SALES_TRADERS,SALESTRADERS,Yes,"Commentary content from traders distributed via Symphony, providing sales and trading insights with intraday updates. DataQuery API group-id  SALESTRADERS"
SPECIALIST_SALES,SPECIALISTSALES,Yes,J.P. Morgan delivers specialist sales and trading content with intraday updates and comprehensive history. DataQuery API group-id  SPECIALISTSALES
iTraxx_Europe,iTraxxEurope,Yes,"iTraxx European index covers a variety of Sectors in the iTraxx Europe Index, across the On-The-Run and specific series. The menu is constructed of 2 dimensions Sector e.g. Senior Financials, Non-Financial, Crossover..., SeriesMaturity e.g. iTraxx 3Y Ser16 20-Dec-14, iTraxx 5Y Ser16 20-Dec-16, iTraxx 7Y Ser16 20-Dec-18.... This dataset is produced by JP Morgan Credit Research Team. DataQuery API group-id  iTraxxEurope"
iTraxx_Europe_Option_Atm,iTraxxEuropeOptionAtm,Yes,"iTraxx Options provides implied volatility and Greeks across iTraxx Main, Crossover, Financial Senior, and Sub-Financial indices. This dataset is produced by JP Morgan Credit Research Team. DataQuery API group-id  iTraxxEuropeOptionAtm"
iTraxx_Europe_Option_Delta,iTraxxEuropeOptionDelta,Yes,"iTraxx Options provides implied volatility and Greeks across iTraxx Main, Crossover, Financial Senior, and Sub-Financial indices. This dataset is produced by JP Morgan Credit Research Team. DataQuery API group-id  iTraxxEuropeOptionDelta"
iTraxx_Europe_Tranched,iTraxxEuropeTranched,Yes,"iTraxx Index Tranches index covers a variety of Sectors in the iTraxx Index Tranches Index, across the On-The-Run and specific series. This dataset is produced by JP Morgan Credit Research Team. DataQuery API group-id  iTraxxEuropeTranched"
